,Month,mean_temp-MEAN,mean_temp-MEDIAN,mean_temp-VARIANCE,mean_temp-MIN,mean_temp-MAX,min_temp-MEAN,min_temp-MEDIAN,min_temp-VARIANCE,min_temp-MIN,min_temp-MAX,max_temp-MEAN,max_temp-MEDIAN,max_temp-VARIANCE,max_temp-MIN,max_temp-MAX,precip-MEAN,precip-MEDIAN,precip-VARIANCE,precip-MIN,precip-MAX
423,4-1985,57.54,58.7,159.0,-0.1,89.9,46.12,46.0,158.52,-8.0,84.9,69.41,72.0,190.87,10.0,107.1,0.04,0.0,0.04,0.0,11.61
424,5-1985,64.98,65.3,97.16,14.4,95.8,53.38,53.1,113.88,8.1,87.1,76.43,78.1,110.61,17.2,109.9,0.06,0.0,0.06,0.0,9.8
425,6-1985,70.49,70.6,106.03,13.8,107.1,59.05,59.0,114.25,6.3,100.9,81.77,82.0,131.07,17.2,120.0,0.07,0.0,0.07,0.0,10.71
426,7-1985,75.72,76.3,66.43,14.4,109.6,64.2,64.9,77.81,11.1,105.1,87.01,88.0,87.84,16.2,125.1,0.07,0.0,0.08,0.0,10.56
427,8-1985,73.09,73.0,80.2,12.7,107.7,62.31,63.0,99.03,-1.1,93.9,84.04,84.9,100.0,17.2,118.9,0.07,0.0,0.09,0.0,9.04
428,9-1985,66.06,66.6,139.6,12.2,97.8,56.07,56.8,163.13,-2.2,96.1,76.96,78.1,150.44,16.2,108.0,0.06,0.0,0.09,0.0,7.83
429,10-1985,57.96,57.4,137.55,7.9,90.0,48.41,48.0,178.03,-12.1,81.0,68.75,69.1,142.61,10.2,102.9,0.07,0.0,0.09,0.0,9.45
430,11-1985,45.16,46.9,340.16,-21.6,83.3,37.22,37.9,347.43,-32.1,80.1,54.33,57.0,380.17,-14.1,93.0,0.08,0.0,0.08,0.0,8.9
431,12-1985,33.12,33.6,293.07,-26.0,78.9,23.97,25.0,300.24,-38.7,75.9,43.42,43.0,332.21,-16.1,91.9,0.04,0.0,0.03,0.0,3.75
432,1-1986,37.79,38.3,238.44,-30.3,75.7,28.03,28.2,247.58,-38.0,71.1,49.18,50.0,278.09,-22.9,90.0,0.04,0.0,0.03,0.0,9.45
433,2-1986,39.07,38.4,322.8,-22.0,88.1,30.51,31.1,321.33,-35.9,75.9,48.84,48.0,385.76,-9.2,102.0,0.06,0.0,0.06,0.0,9.04
434,3-1986,48.89,49.55,200.32,-18.5,88.2,37.96,37.9,189.34,-27.9,80.1,60.61,62.1,240.99,-12.8,102.2,0.04,0.0,0.04,0.0,9.04
435,4-1986,55.77,55.7,142.94,7.9,88.3,44.76,44.1,135.19,-6.0,86.0,67.36,68.0,180.53,10.2,100.9,0.04,0.0,0.03,0.0,9.04
436,5-1986,63.82,64.8,122.75,6.9,99.2,52.78,53.1,130.14,1.9,87.1,74.84,76.8,148.55,10.2,108.0,0.06,0.0,0.06,0.0,12.01
437,6-1986,71.94,72.9,92.64,5.2,106.0,60.86,61.0,104.08,1.2,95.0,83.04,84.9,111.75,17.2,117.0,0.07,0.0,0.09,0.0,12.72
438,7-1986,75.4,76.3,91.62,0.1,105.0,64.54,66.0,99.9,-11.7,102.9,86.17,88.0,109.88,16.2,117.0,0.06,0.0,0.06,0.0,9.79
439,8-1986,73.06,73.3,80.5,10.3,105.7,62.2,63.0,95.66,-1.1,100.9,84.26,84.9,104.02,16.2,120.0,0.07,0.0,0.07,0.0,8.51
440,9-1986,66.53,66.9,123.57,12.7,104.6,57.21,57.0,142.6,0.0,91.9,76.75,78.1,140.21,15.3,114.1,0.07,0.0,0.08,0.0,11.02
